"","Sentence","Subject","Length_of_sentence_recording","Expected_length_of_Recording","Length_of_Recording","Unexpected_Overspill"
"131","Sarah_engels_Mary_fixes_a_wall_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1798,4498,5028,530
"132","Sarah_engels_Mary_fixes_a_wall_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1798,4498,5331,833
"133","Sarah_engels_Mary_fixes_a_wall_0.wav","920a27b518e889e62252ffb5766b8a71",1798,4498,5384,886
"134","Sarah_engels_Mary_fixes_a_wall_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1798,4498,5076,578
"135","Sarah_engels_Mary_fixes_a_wall_0.wav","f8c19b269a3307cc3794c234603144f8",1798,4498,5051,553
"136","Sarah_engels_Mary_folds_a_dress_0.wav","13c98e912212b5f35940704e0b0888ba",1721,4421,4538,117
"137","Sarah_engels_Mary_folds_a_dress_0.wav","1615981459",1721,4421,4748,327
"138","Sarah_engels_Mary_folds_a_dress_0.wav","46c3b725b7b943366f24bc420b0d72a7",1721,4421,4570,149
"139","Sarah_engels_Mary_folds_a_dress_0.wav","7304b0bf72856db551282e1c54fbf7eb",1721,4421,4602,181
"140","Sarah_engels_Mary_folds_a_dress_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1721,4421,4593,172
"141","Sarah_engels_Mary_folds_a_dress_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1721,4421,4755,334
"142","Sarah_engels_Mary_folds_a_dress_0.wav","920a27b518e889e62252ffb5766b8a71",1721,4421,5292,871
"143","Sarah_engels_Mary_folds_a_dress_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1721,4421,4614,193
"144","Sarah_engels_Mary_folds_a_dress_0.wav","f8c19b269a3307cc3794c234603144f8",1721,4421,4518,97
"145","Sarah_engels_Mary_grabs_a_carrot_0.wav","13c98e912212b5f35940704e0b0888ba",1969,4669,4727,58
"146","Sarah_engels_Mary_grabs_a_carrot_0.wav","1615981459",1969,4669,4582,-87
"147","Sarah_engels_Mary_grabs_a_carrot_0.wav","46c3b725b7b943366f24bc420b0d72a7",1969,4669,4745,76
"148","Sarah_engels_Mary_grabs_a_carrot_0.wav","7304b0bf72856db551282e1c54fbf7eb",1969,4669,4805,136
"149","Sarah_engels_Mary_grabs_a_carrot_0.wav","7f94a6a00b81835afd4a31a99888f4b0",1969,4669,4796,127
"150","Sarah_engels_Mary_grabs_a_carrot_0.wav","7feeeb7ec98c0c8bb94dec0b562a0e2f",1969,4669,4917,248
"151","Sarah_engels_Mary_grabs_a_carrot_0.wav","920a27b518e889e62252ffb5766b8a71",1969,4669,5083,414
"152","Sarah_engels_Mary_grabs_a_carrot_0.wav","b8b7b2c287ed8ac837a61d8952dfc530",1969,4669,4786,117
